0.7710893002	fermilab
0.7635233295	ethernet
0.7583960641	gev
0.7551950368	stanford
0.7547173859	helmholtz
0.7517845201	darmstadt
0.7504191997	mev
0.7502439342	synchrotron
0.7484574984	mhz
0.7475395193	muon
0.7471014488	stark
0.7471014488	lagrangian
0.7463444309	wakefield
0.7451254930	rs
0.7445323938	chinese
0.7444232866	london
0.7442702175	tev
0.7436065057	penning
0.7431637384	ring
0.7430977725	superconducting
0.7430652228	injector
0.7426163322	collider
0.7421087254	pig
0.7415143345	piwinski
0.7412087985	upgrade
0.7411369880	test
0.7410209831	accelerator
0.7407977215	korea
0.7406125128	relativistic
0.7405176109	cern
0.7402938285	spin
0.7401956289	numerical
0.7396702152	joule
0.7394097064	proton
0.7393560259	cartesian
0.7383568457	multi
0.7375924168	hefei
0.7375784477	minkowski
0.7374821793	south
0.7372955752	japanese
0.7365216324	green's
0.7359873373	design
0.7351810005	physics
0.7350108744	argonne
0.7348264850	linear
0.7345167577	experimental
0.7328605789	tizrv
0.7327984055	linux
0.7325789190	single
0.7317837149	laboratory
0.7317578209	photon
0.7309046530	ion
0.7301182941	nordheim
0.7299751071	control
0.7299140189	crystal
0.7297842866	department
0.7297025521	light
0.7295760072	hz
0.7285493638	report
0.7277092414	berkeley
0.7275428107	study
0.7273666570	magnetic
0.7272940171	ghz
0.7272864052	bloch
0.7267711191	ii
0.7259477064	electromagnetic
0.7259138152	explorer
0.7258778126	colliders
0.7254364356	positron
0.7247687911	simulation
0.7247212296	interaction
0.7244346382	thomas
0.7238256613	neutrino
0.7237558988	ti
0.7234062502	development
0.7230685194	long
0.7230115823	thz
0.7225310673	laser
0.7222467116	transverse
0.7217522259	recent
0.7215558102	bayesian
0.7214928983	siberian
0.7213098706	coherent
0.7208173065	compton
0.7200255473	paul
0.7200255473	doppler
0.7191604438	china
0.7190664715	higgs
0.7190526053	radiation
0.7188220135	booster
0.7187983542	fe
0.7182986258	tevatron
0.7181326321	swiss
0.7172192742	linac
0.7160322002	rutherford
0.7155322002	eupraxia
0.7154091091	snowmass
0.7151171208	marx
0.7143925713	low
0.7139664701	quantum
0.7135639181	rf
0.7132708077	electron
0.7129482315	analysis
0.7127812245	organization
0.7123497376	initial
0.7120214054	facility
0.7117833596	compact
0.7117620223	ccd
0.7115210608	acceleration
0.7110673834	universe
0.7109986982	experiment
0.7103962033	wigner
0.7103190854	nonlinear
0.7096491678	faraday
0.7096491678	peking
0.7095114639	bcs
0.7092730636	longitudinal
0.7089636216	ad
0.7086903326	lorentz
0.7086375079	plasma
0.7086215845	dipole
0.7079684567	sparc_lab
0.7078851618	isolde
0.7077694396	slac
0.7076473509	cooling
0.7076450011	nova
0.7075617541	project
0.7071274184	recycler
0.7067746996	fermi
0.7067066303	courant
0.7065211598	model
0.7064846004	taylor
0.7058172215	shanghai
0.7053708892	h2
0.7052721756	ginzburg
0.7052721756	shintake
0.7046946935	technology
0.7045301806	eli
0.7045171710	phase
0.7042212967	atlas
0.7041965056	mw
0.7040482315	measurement
0.7038107793	source
0.7037029044	qcd
0.7033291359	germany
0.7028487401	hamiltonian
0.7028320670	simulator
0.7027638064	mu2e
0.7024502554	quadrupole
0.7022831238	short
0.7022765820	automation
0.7022650871	undulator
0.7021966647	jlc
0.7020836899	analytical
0.7019042743	lienard
0.7016003231	high
0.7015759486	evolutionary
0.7014363256	np
0.7014363256	daresbury
0.7008567117	transport
0.7008392244	measurements
0.7008085441	lhc
0.7007906384	wake
0.7003369341	energy
0.7001358785	brookhaven
0.7000177997	xfel
0.6998593588	motion
0.6997541342	cherenkov
0.6997515461	lawrence
0.6997279881	generation
0.6996844109	ecr
0.6995781814	vlasov
0.6992102829	analyzer
0.6991305383	dirac
0.6991061511	production
0.6988469774	pd
0.6984533469	institute
0.6982990195	diamond
0.6982051359	space
0.6981456077	maxwell's
0.6973960881	bragg
0.6971903112	tesla
0.6971389963	university
0.6966143397	nb
0.6962650128	circular
0.6962110714	beam
